index,Country,Year,Stunted,Caloric_intake,GDP_per_capita,Population,Underweight,Undernourished_People,Mortality_Rate,Prevalence of wasting,Death_Rate,Number_of_wasted_children,Number_of_food_insecure_people,GHI,GHI_Severity_lvl
38,Mongolia,2016,7.3,0.24,11058.95,3029559.0,0.8,200000.0,1.8504581,1.2,0.01,4448.0,200000.0,7.6694108545240445,Low
39,India,2017,34.7,0.25,6112.0664,1354195712.0,33.4,174300000.0,3.8661091,17.3,1.42,20842135.0,97900000.0,64.47238724776054,Extremely Alarming
40,North Korea,2017,19.1,0.26,18893.909880263156,25516318.0,9.3,11000000.0,1.8999999999999997,2.5,1.76,41368.0,97900000.0,15.170855799657673,Moderate
41,Vietnam,2017,23.8,0.28,9050.688,94033048.0,13.4,6000000.0,2.145929,5.8,0.13,437927.0,5900000.0,19.99066518349053,Moderate
42,China,2017,4.8,0.19,14243.532,1410275968.0,2.9,233899999.99999997,0.9220807000000001,1.8999999999999997,1.17,1721307.0,97900000.0,36.94292703930302,Alarming
43,Iran,2017,4.8,0.27,15163.292,84505080.0,4.3,6100000.0,1.4460907,4.3,0.31,243797.0,35900000.0,8.463583966477872,Low
44,Bangladesh,2018,30.899999999999995,0.26,5124.4985,163683952.0,21.9,20700000.0,3.2196547999999994,8.4,2.29,1229317.0,51600000.0,31.24648343557307,Serious
45,Indonesia,2018,30.800000000000004,0.28,11397.432,267066848.0,17.7,15700000.0,2.4642334,10.2,15.07,2362686.0,18600000.0,29.006311402532823,Serious
46,Mongolia,2018,9.4,0.24,12052.294,3163994.0,1.8,200000.0,1.678688,0.9,0.01,3523.0,200000.0,7.589097044976434,Low
47,Iraq,2018,12.6,0.4,9995.05,40590700.0,3.9,7000000.0,2.704599,3.0,0.28,172259.0,97900000.0,15.567383257271345,Moderate
48,Myanmar,2018,26.699999999999996,0.28,4556.2812,52666016.0,19.1,1600000.0,4.641533,6.7,3.46,301969.0,15800000.0,31.025783043159215,Serious
49,Pakistan,2018,37.6,0.24,5113.434,219731488.0,23.1,24200000.0,6.964348,7.1,3.78,2080281.0,31200000.0,48.016762304205045,Alarming
50,Vietnam,2018,23.2,0.28,9636.013,94914328.0,12.8,5700000.0,2.12525,5.400000000000001,0.13,503988.0,5900000.0,19.300878371301216,Moderate
51,Vietnam,2019,22.4,0.28,10252.005,95776712.0,12.2,5300000.0,2.106348,5.2,0.12,503988.0,6200000.0,18.687439673309257,Moderate
52,Thailand,2019,13.4,0.24,18003.672,71307768.0,7.7,4300000.0,0.9012203000000001,7.7,0.99,273870.0,3900000.0,12.280302916558524,Moderate
53,Bangladesh,2019,28.0,0.25,5467.208,165516224.0,22.6,19600000.0,3.042254,9.8,2.04,1433621.0,52800000.0,30.382495755020983,Serious
54,Malaysia,2019,21.8,0.21,27674.402,32804024.0,14.1,1200000.0,0.7880466600000001,9.7,1.2,253217.0,4900000.0,16.3782978622854,Moderate
55,Nepal,2019,31.5,0.26,3922.0813,28832500.0,24.4,1400000.0,2.9344585,12.0,5.22,352224.0,10500000.0,30.5574401915734,Serious
56,Vietnam,2020,19.6,0.29,10450.622,96648680.0,11.5,4900000.0,2.085237,5.955555555555556,0.16700000000000004,503988.0,7400000.0,18.048586492521316,Moderate
57,Bangladesh,2010,35.019999999999996,0.26,3395.3647,148391136.0,29.82,22600000.0,4.915377,13.279999999999998,6.47,2736572.0,53100000.0,43.78646669778096,Alarming
58,Singapore,2010,24.59379585326954,0.2581818181818182,78115.21,5163585.0,16.111339712918664,233899999.99999997,0.2834368,8.522046783625731,0.01,25600142.0,400000.0,47.74485850385341,Alarming
59,Israel,2010,24.59379585326954,0.2,34065.844,7328439.0,16.111339712918664,233899999.99999997,0.45566192,8.522046783625731,0.39,25600142.0,1200000.0,48.41917640105988,Alarming
60,Iraq,2010,17.35,0.38,8178.305,31264880.0,5.55,4600000.0,3.488769,4.75,0.58,322692.0,97900000.0,21.619025043275013,Serious
61,India,2010,37.1,0.25,4213.363,1240613632.0,33.03333333333333,195200000.0,5.810156,17.733333333333334,3.14,25600142.0,97900000.0,76.37596732532074,Extremely Alarming
62,Thailand,2010,13.433333333333332,0.25,14172.218,68270488.0,7.866666666666666,6600000.0,1.3558034,6.6000000000000005,1.18,273870.0,5100000.0,13.502798925904386,Moderate
63,South Korea,2010,24.59379585326954,0.22,34394.492,48813036.0,16.111339712918664,233899999.99999997,0.41240414999999997,8.522046783625731,0.19,25600142.0,2900000.0,48.24980802724634,Alarming
64,Sri Lanka,2010,15.95,0.24,9440.672,20668556.0,23.3,2700000.0,1.1218226,18.2,1.11,383878.0,2400000.0,22.510998334343217,Serious
65,Pakistan,2010,42.06666666666666,0.25,4058.0085,194454496.0,28.76666666666667,29399999.999999996,8.72238,10.833333333333336,4.08,4167102.0,97900000.0,60.47280298771651,Extremely Alarming
66,Yemen,2010,46.5,0.27,18893.909880263156,24743944.0,37.7,6200000.0,5.891764,14.85,6.51,696998.0,22200000.0,51.13019333652713,Extremely Alarming
67,Malaysia,2010,20.066666666666666,0.22,20171.88,28717728.0,13.4,1300000.0,0.81385756,9.733333333333333,1.41,299188.0,5400000.0,15.829730683380191,Moderate
68,North Korea,2010,23.5,0.26,18893.909880263156,24686436.0,12.25,9800000.0,2.95,3.2500000000000004,2.4,63901.0,97900000.0,21.47792203772737,Serious
69,Myanmar,2010,28.049999999999997,0.28,2830.284,49390988.0,18.8,5000000.0,6.3433633,6.65,5.51,301969.0,15800000.0,38.67138754295239,Alarming
70,Nepal,2010,36.2,0.26,2682.6987,27161572.0,27.575,2800000.0,4.586711,11.025,7.82,352224.0,11200000.0,38.30367203786494,Alarming
71,South Korea,2011,24.59379585326954,0.22,35388.977,49169880.0,16.111339712918664,233899999.99999997,0.3974931,8.522046783625731,0.18,25600142.0,2900000.0,48.19142637025495,Alarming
72,North Korea,2011,23.5,0.26,18893.909880263156,24783790.0,12.25,9600000.0,2.77,3.2500000000000004,2.3,63901.0,97900000.0,20.74463633128027,Serious
73,Sri Lanka,2011,15.95,0.24,10190.35,20859746.0,23.3,2900000.0,1.083713,18.2,1.08,383878.0,2400000.0,22.39031333760519,Serious
74,Syria,2011,27.9,0.26,18893.909880263156,22730734.0,10.4,1400000.0,2.0160925,11.5,0.68,356298.0,97900000.0,25.117832313304444,Serious
75,Mongolia,2011,10.7,0.25,8685.78,2743946.0,1.875,400000.0,2.4358144,1.175,0.02,4637.0,200000.0,11.325036624974494,Moderate
76,Thailand,2011,13.433333333333332,0.25,14199.279,68712848.0,7.866666666666666,6000000.0,1.2951807,6.6000000000000005,1.1,273870.0,5100000.0,13.17986134596891,Moderate
77,China,2011,7.433333333333334,0.2,9680.098,1357095424.0,2.9,233899999.99999997,1.4570093,2.033333333333333,1.08,1974271.0,97900000.0,40.19625403948442,Alarming
78,Myanmar,2011,28.049999999999997,0.28,3018.4617,49794528.0,18.8,3700000.0000000005,6.076398,6.65,5.15,301969.0,15800000.0,37.44070782498837,Alarming
79,India,2011,37.1,0.25,4374.2324,1257621248.0,33.03333333333333,193200000.0,5.4990835,17.733333333333334,2.94,25600142.0,97900000.0,74.87275033247735,Extremely Alarming
80,Indonesia,2011,35.46666666666666,0.27,8610.529,247099696.0,18.733333333333334,27200000.0,3.2503674,12.0,16.4,3251343.0,20000000.0,37.05586433308954,Alarming
81,Japan,2011,7.1,0.17,38149.617,128007256.0,3.4,3300000.0,0.32068935,2.3,0.37,124400.0,5500000.0,2.9409741886099003,Low
82,Iran,2011,5.8,0.27,15302.202,76342968.0,4.199999999999999,5800000.0,1.8360279,4.15,0.43,243797.0,39200000.0,10.223701307282038,Moderate
83,Israel,2011,24.59379585326954,0.2,35301.82,7459750.0,16.111339712918664,233899999.99999997,0.44057935,8.522046783625731,0.38,25600142.0,1200000.0,48.36012318694762,Alarming
84,Malaysia,2011,20.066666666666666,0.22,20900.322,29184140.0,13.4,1500000.0,0.8096515500000001,9.733333333333333,1.32,299188.0,5400000.0,15.841789374186407,Moderate
85,Singapore,2011,24.59379585326954,0.2581818181818182,81258.086,5281351.0,16.111339712918664,233899999.99999997,0.28147426,8.522046783625731,0.01,25600142.0,400000.0,47.737174515327325,Alarming
86,Bhutan,2011,33.5,0.2581818181818182,8499.3545,713338.0,12.7,233899999.99999997,4.0061965,5.9,1.0,3929.0,97900000.0,63.72960814313632,Extremely Alarming
87,Bangladesh,2012,35.019999999999996,0.26,3756.932,152090656.0,29.82,24000000.0,4.4352074,13.279999999999998,4.39,2736572.0,53100000.0,42.10613125110129,Alarming
88,Bhutan,2012,33.5,0.2581818181818182,8837.576,721154.0,12.7,233899999.99999997,3.8049324,5.9,0.87,3929.0,97900000.0,62.94159310389493,Extremely Alarming
89,Singapore,2012,24.59379585326954,0.2581818181818182,82805.62,5381003.0,16.111339712918664,233899999.99999997,0.27827245,8.522046783625731,0.01,25600142.0,400000.0,47.72463837782047,Alarming
90,South Korea,2012,24.59379585326954,0.22,36049.195,49634188.0,16.111339712918664,233899999.99999997,0.38470608,8.522046783625731,0.17,25600142.0,2900000.0,48.14136098816704,Alarming
91,Israel,2012,24.59379585326954,0.2,35552.85,7592099.0,16.111339712918664,233899999.99999997,0.42660433,8.522046783625731,0.37,25600142.0,1200000.0,48.30540639476412,Alarming
92,India,2012,37.1,0.25,4551.8623,1274487168.0,33.03333333333333,188700000.0,5.1971855,17.733333333333334,2.83,25600142.0,97900000.0,73.04887200650943,Extremely Alarming
93,Yemen,2012,46.5,0.41,18893.909880263156,26223390.0,37.7,7500000.0,5.8883433,14.85,5.72,696998.0,22200000.0,51.302223079655484,Extremely Alarming
